File,Algorithm,P,n_vertices,max_cap,t0,t1,t2,t3,t4
EK_p_0.6_nVertices_400_maxValue_50.txt,EK,0.6,400,50,0.132502,0.1555,0.171,0.1065,0.136
Dinic_p_0.6_nVertices_400_maxValue_50.txt,Dinic,0.6,400,50,0.005002,0.008002,0.003001,0.0045,0.0055
MPM_p_0.6_nVertices_400_maxValue_80.txt,MPM,0.6,400,80,0.017001,0.015999,0.011999,0.016499,0.0115
EK_p_0.6_nVertices_400_maxValue_80.txt,EK,0.6,400,80,0.126501,0.18,0.085501,0.130999,0.127999
Dinic_p_0.6_nVertices_400_maxValue_80.txt,Dinic,0.6,400,80,0.002499,0.007999,0.002001,0.004,0.009001
MPM_p_0.6_nVertices_400_maxValue_130.txt,MPM,0.6,400,130,0.013,0.016,0.018501,0.0135,0.0155
EK_p_0.6_nVertices_400_maxValue_130.txt,EK,0.6,400,130,0.107499,0.130999,0.1385,0.086,0.164501
Dinic_p_0.6_nVertices_400_maxValue_130.txt,Dinic,0.6,400,130,0.009001,0.0025,0.005,0.002999,0.003
MPM_p_0.6_nVertices_400_maxValue_210.txt,MPM,0.6,400,210,0.013,0.012001,0.0155,0.015501,0.016501
EK_p_0.6_nVertices_400_maxValue_210.txt,EK,0.6,400,210,0.161502,0.1565,0.1315,0.198501,0.147
Dinic_p_0.6_nVertices_400_maxValue_210.txt,Dinic,0.6,400,210,0.0035,0.004501,0.005001,0.0035,0.002501
MPM_p_0.6_nVertices_400_maxValue_340.txt,MPM,0.6,400,340,0.016,0.015,0.0185,0.0105,0.0185
EK_p_0.6_nVertices_400_maxValue_340.txt,EK,0.6,400,340,0.155499,0.2,0.136501,0.1365,0.159001
Dinic_p_0.6_nVertices_400_maxValue_340.txt,Dinic,0.6,400,340,0.0065,0.003,0.004501,0.002499,0.0035
MPM_p_0.6_nVertices_400_maxValue_500.txt,MPM,0.6,400,500,0.012001,0.022,0.0165,0.016,0.015501
EK_p_0.6_nVertices_400_maxValue_500.txt,EK,0.6,400,500,0.228499,0.171499,0.193001,0.1695,0.1805
Dinic_p_0.6_nVertices_400_maxValue_500.txt,Dinic,0.6,400,500,0.0045,0.0025,0.007002,0.0055,0.008001
MPM_p_0.6_nVertices_450_maxValue_10.txt,MPM,0.6,450,10,0.0225,0.020499,0.020999,0.022499,0.016996
EK_p_0.6_nVertices_450_maxValue_10.txt,EK,0.6,450,10,0.120501,0.186,0.194999,0.148499,0.146499
Dinic_p_0.6_nVertices_450_maxValue_10.txt,Dinic,0.6,450,10,0.002,0.0035,0.008,0.0045,0.003501
MPM_p_0.6_nVertices_450_maxValue_20.txt,MPM,0.6,450,20,0.018999,0.024498,0.016501,0.019502,0.0125
EK_p_0.6_nVertices_450_maxValue_20.txt,EK,0.6,450,20,0.205501,0.181003,0.185501,0.207,0.1695
Dinic_p_0.6_nVertices_450_maxValue_20.txt,Dinic,0.6,450,20,0.0055,0.005,0.0075,0.004,0.01
MPM_p_0.6_nVertices_450_maxValue_30.txt,MPM,0.6,450,30,0.034002,0.021998,0.0115,0.017001,0.0165
EK_p_0.6_nVertices_450_maxValue_30.txt,EK,0.6,450,30,0.2185,0.2165,0.161499,0.1935,0.2345
Dinic_p_0.6_nVertices_450_maxValue_30.txt,Dinic,0.6,450,30,0.003,0.008,0.003,0.006001,0.005002
MPM_p_0.6_nVertices_450_maxValue_50.txt,MPM,0.6,450,50,0.013501,0.018499,0.011499,0.018001,0.0275
EK_p_0.6_nVertices_450_maxValue_50.txt,EK,0.6,450,50,0.251003,0.225501,0.154001,0.2435,0.210001
Dinic_p_0.6_nVertices_450_maxValue_50.txt,Dinic,0.6,450,50,0.0065,0.006499,0.005,0.002,0.003
MPM_p_0.6_nVertices_450_maxValue_80.txt,MPM,0.6,450,80,0.011,0.019992,0.0185,0.014,0.05
